component,type,description,level,materials,scale,shape,time,operation_reduction
blades,failure,minor repair,2,275,1.969,1,9,0
blades,failure,major repair,4,2427,89.808,1,21,0
blades,failure,major replacement,6,145642,898.077,1,288,0.02
controls,failure,minor repair,2,324,2.698,1,8,0
controls,failure,major repair,4,3236,17.740,1,14,0
controls,failure,major replacement,6,21037,957.944,1,12,0.02
electrical,failure,minor repair,2,162,2.414,1,5,0
electrical,failure,major repair,4,3236,54.023,1,14,0
electrical,failure,major replacement,6,19419,432.184,1,18,0.02
gearbox,failure,minor repair,2,202,2.348,1,8,0
gearbox,failure,major repair,4,4046,24.403,1,22,0
gearbox,failure,major replacement,6,372197,6.022,1,231,0.02
generator,failure,minor repair,2,259,1.860,1,7,0
generator,failure,major repair,4,5664,2.810,1,24,0
generator,failure,major replacement,6,97095,9.494,1,81,0.02
heat_cool,failure,minor repair,2,752,4.868,1,5,0
heat_cool,failure,major repair,4,2104,132.126,1,14,0
hub,failure,minor repair,2,259,5.167,1,10,0
hub,failure,major repair,4,2427,24.748,1,40,0
hub,failure,major replacement,6,153734,940.426,1,298,0.02
oil,failure,minor repair,2,259,2.154,1,4,0
oil,failure,major repair,4,3236,146.143,1,18,0
other,failure,minor repair,2,178,1.048,1,5,0
other,failure,major repair,4,3884,20.256,1,21,0
other,failure,major replacement,6,16182,850.746,1,36,0.02
pitch,failure,minor repair,2,340,1.132,1,9,0
pitch,failure,major repair,4,3075,5.213,1,19,0
pitch,failure,major replacement,6,22655,933.086,1,25,0.02
power_supply,failure,minor repair,2,388,11.842,1,7,0
power_supply,failure,major repair,4,8577,11.111,1,14,0
power_supply,failure,major replacement,6,21037,180.000,1,57,0.02
pump_motor,failure,minor repair,2,534,3.337,1,4,0
pump_motor,failure,major repair,4,3236,21.575,1,10,0
relay,failure,minor repair,2,421,2.725,1,4,0
relay,failure,major repair,4,3722,16.451,1,19,0
relay,failure,major replacement,6,21846,444.186,1,150,0.02
safety,failure,minor repair,2,210,2.578,1,2,0
safety,failure,major repair,4,3884,240.434,1,7,0
sensors,failure,minor repair,2,243,3.709,1,8,0
sensors,failure,major repair,4,4046,13.088,1,6,0
service_items,failure,minor repair,2,129,8.074,1,7,0
service_items,failure,major repair,4,1942,872.000,1,9,0
tower_substructure,failure,minor repair,2,227,10.635,1,5,0
tower_substructure,failure,major repair,4,1780,10.993,1,2,0
xformer,failure,minor repair,2,154,16.568,1,7,0
xformer,failure,major repair,4,3722,287.179,1,26,0
xformer,failure,major replacement,6,113277,861.538,1,1,0.02
yaw,failure,minor repair,2,227,5.520,1,5,0
yaw,failure,major repair,4,4855,149.030,1,20,0
yaw,failure,major replacement,6,20228,894.180,1,49,0.02
